,,,Course Evaluations 2014-2016,,,,,,,
COURSE_DATE,METOBJ,METEXP,EXPTXT,CLASSSETUP,TOPICSMOST,TOPICSLEAST,INSTTECH,INSTCLEAR,INSTTXT,REGION
5/11/2014,4,4,Learning the administration of TIBCO Adctive Matrix.,Very supportive,Managing and configuring of Domains,None,5,5,Very experienced and friendly instructor,EMEA
5/11/2014,4,4,Administration BussinessWorks,"Yes, but a little bit dry - nothing to drink in room","Configuring Domain Communications, Managing, Monitoring Deployments",Managing Domains and Users,5,5,Very positive.,EMEA
5/11/2014,5,5,administrate BW ,yes,everything,everything was more ore less helpful,5,5,very good,EMEA
5/12/2014,4,3,all ok,all,all,all,4,4,all,EMEA
5/12/2014,5,4,"We should participate on a new project, so we gather as much as possible information.",yes,all,don`t know now,5,5,expert in his area,EMEA
5/12/2014,4,4,  ,  ,  ,  ,4,4,  ,EMEA
5/12/2014,3,3,to know basic info about Tibco,yes,EMS,i dont know,4,4,very good,EMEA
5/12/2014,4,3,#NAME?,participants have different levels of knowledge,"destination properties, monitoring",ems basic features (for advance user this is not useful),4,4,good,EMEA
5/12/2014,3,3,create a better set-up for the current client,I always learn quicker when I am in a teacher lead training,"destination bridging, routing, failover, monitoring, EMS CA","message persistence (is already part of BW)
managing permissions (is too theoretical, how to use in a practical environment was only discussed very briefly)
overall management and monitoring best practices are missing",4,4,"Good, although it is difficult to deal with a virtual class",EMEA
5/11/2014,4,4,To learn more about BE,"Yes, it was.","event, Channels, Concepts, Scorecards and designing rules",Fraud detection,4,4,Good,EMEA
5/11/2014,5,4,"I expected to learn the main concepts and basic functionality (with some additional advanced one).
Some part had to be skipped due to the class being slow in the lab exercises.",yes,"All the topics covered were helpful.
The most interesting parts were the ones covering the events and rules creation.",No topics,4,4,The instructor was really helpful and available to give help and further explanation to questions arising in the class.,EMEA
5/12/2014,5,5,-,-,-,-,5,5,Very helpful and knowledgable!,AMER
5/12/2014,5,5,+,+,+,+,5,5,+,AMER
5/12/2014,5,5,I was expecting to learn the basic use cases for developing web services using the BW product.,"I liked the online interactive experience, but the HTTP browser-based connectivity was a little laggy. I could also tell that it was a little cumbersome for the instructor.",The discussions about overall architecture explaining how the pieces fit together were the most useful.,None.,5,5,Gopal is an experienced professional well-versed in breaking down technical concepts for consumption by those new to TIBCO products.,AMER
5/12/2014,5,5,Te course labs were too long and thus had to do too fast and didnt understand what i was doing,yes,BW,nonw,5,5,good and knowlegable,AMER
5/12/2014,5,5,overview of bw,yes,Organization of the project and Palette options,not sure.,5,5,One of the best I've ever had.,AMER
5/14/2014,5,5,To receive an introduction to EDISIM.,Yes,Business Rules,N/A,5,5,Excellent,AMER
5/14/2014,4,4,Go get start with TIBCO products for working with 270/271 EDI transactions,Yes,N/A,N/A,4,4,Very good. ,AMER
5/14/2014,5,5,To be able to administer the AMX servers,Yes,All,N/a,5,5,Excellent,EMEA
5/14/2014,4,4,managing AMX servers for AMX composite applications ,yes,Security,NA,4,5,very good,EMEA
4/7/2014,3,2,"Actually we wanted a training on AMX service bus, but later we came to know that it was a training on the service grid which had only 1 day service bus training. So didn't met expectation on actuals.",Well there were several queries that we had during the course. Though these were kind of advanced topics. We didn't have answers to those queries.,"Service bus, which was only for a day.",none actually,4,4,"Very good! He had the very good concepts of AMX SG. But we were actually looking for advanced concepts of service bus and its administration, which were industry specific and standards.",APJ
5/12/2014,4,2,to learn and absorb how I can use this in my work and projects.,very hard to absorb while doing the exercise.  running lack of time.,exercises ,theoretical,5,4,helpful. but a bit boring in the theoretical part. I would like to get more exercises then do the explanation.  he did his best to accommodate all.,AMER
5/14/2014,5,5,"To get an introduction to the EDISIM family of tools, and how they work together.",N/A - remote online training. I was at my home.,Validator,None,5,5,"She is very knowledgeable in the subject matter, and had used the tools that we learned.",AMER
5/12/2014,5,5,"I expected to get familiar with the basic concepts of the BusinessEvents product, as I had no prior knowledge of what it really was designed and used for.","Yes, I believe that the learning environment was excellent as there where no distractions and the focus could stay on the class.",I believe the most important topics where the ones related to ,"I think that because of my developer perspective, the least useful topics (for now) are the one relating to administrative tasks, such as deploying our applications on domains. I believe those topics belong more on it own course.",5,5,"Excellent. My instructor denoted expertise on the subject, particularly regarding the questions I asked by explaining the themes in such a way that I understood them clearly.",AMER
5/13/2014,3,2,to learn how can I fix the problem.,.,.,.,4,4,she is very very helpful and effective,EMEA
5/13/2014,3,3,.,.,.,.,3,3,.,EMEA
5/13/2014,5,5,create Distribute configuration,create Distribute configuration,create Distribute configuration,create Distribute configuration,5,5,create Distribute configuration,EMEA
5/13/2014,5,5,.,.,.,.,5,5,.,EMEA
5/13/2014,4,4, b, , ,all topic,4,4, ,EMEA
5/13/2014,5,5, , , , ,5,5, ,EMEA
5/13/2014,5,4,.,.,.,.,5,5,.,EMEA
