price;build_year;year;road_name;bon;bu;gungu;serial;gr_code;road_code;bgd;bgd_bon;bgd_bu;bgd_sigungu;bgd_emd;bgd_gibun;apt_name;month;day;serial2;size;gibun;area_code;floor;price_by_area;deal_ymd
162000;2005;2019;올림픽로;00212;00000;11710;01;0;3123023; 잠실동;0040;0000;11710;10100;1;갤러리아팰리스;1;2;11710-281;151,9990;40;11710;27;3517;2019-01-02
151000;2007;2019;잠실로;00062;00000;11710;01;0;3123015; 잠실동;0035;0000;11710;10100;1;트리지움;1;3;11710-6028;84,8300;35;11710;10;5874;2019-01-03
170000;1978;2019;송파대로;00567;00000;11710;01;0;2005011; 잠실동;0027;0000;11710;10100;1;주공아파트 5단지;1;5;11710-164;76,5000;27;11710;5;7333;2019-01-05
148500;1981;2019;올림픽로4길;00042;00000;11710;01;0;4169439; 잠실동;0101;0001;11710;10100;1;우성아파트;1;7;11710-159;96,6500;101-1;11710;5;5070;2019-01-07
148500;2008;2019;올림픽로;00099;00000;11710;01;0;3123023; 잠실동;0019;0000;11710;10100;1;잠실엘스;1;7;11710-6346;84,8000;19;11710;2;5778;2019-01-07
165000;2008;2019;올림픽로;00135;00000;11710;01;0;3123023; 잠실동;0022;0000;11710;10100;1;리센츠;1;7;11710-6249;84,9900;22;11710;19;6406;2019-01-07
187000;1978;2019;송파대로;00567;00000;11710;01;0;2005011; 잠실동;0027;0000;11710;10100;1;주공아파트 5단지;1;7;11710-164;82,5100;27;11710;9;7479;2019-01-07
158000;2008;2019;올림픽로;00099;00000;11710;01;0;3123023; 잠실동;0019;0000;11710;10100;1;잠실엘스;1;12;11710-6346;84,8000;19;11710;16;6148;2019-01-12
127500;2008;2019;올림픽로;00099;00000;11710;01;0;3123023; 잠실동;0019;0000;11710;10100;1;잠실엘스;1;14;11710-6346;59,9600;19;11710;1;7017;2019-01-14
160000;2005;2019;올림픽로;00212;00000;11710;01;0;3123023; 잠실동;0040;0000;11710;10100;1;갤러리아팰리스;1;15;11710-281;151,9990;40;11710;8;3473;2019-01-15
230000;2008;2019;올림픽로;00135;00000;11710;01;0;3123023; 잠실동;0022;0000;11710;10100;1;리센츠;1;15;11710-6249;124,2200;22;11710;31;6110;2019-01-15
173000;2006;2019;잠실로;00088;00000;11710;01;0;3123015; 잠실동;0044;0000;11710;10100;1;레이크팰리스;1;15;11710-5957;116,1900;44;11710;5;4913;2019-01-15
160000;2005;2019;올림픽로;00212;00000;11710;01;0;3123023; 잠실동;0040;0000;11710;10100;1;갤러리아팰리스;1;16;11710-281;122,9890;40;11710;32;4293;2019-01-16
150000;2006;2019;잠실로;00088;00000;11710;01;0;3123015; 잠실동;0044;0000;11710;10100;1;레이크팰리스;1;16;11710-5957;84,8200;44;11710;16;5835;2019-01-16
185500;1978;2019;송파대로;00567;00000;11710;01;0;2005011; 잠실동;0027;0000;11710;10100;1;주공아파트 5단지;1;17;11710-164;82,5100;27;11710;5;7419;2019-01-17
132000;2008;2019;올림픽로;00099;00000;11710;01;0;3123023; 잠실동;0019;0000;11710;10100;1;잠실엘스;1;17;11710-6346;59,9600;19;11710;14;7264;2019-01-17
186500;1978;2019;송파대로;00567;00000;11710;01;0;2005011; 잠실동;0027;0000;11710;10100;1;주공아파트 5단지;1;18;11710-164;82,5100;27;11710;8;7459;2019-01-18
158000;2008;2019;올림픽로;00099;00000;11710;01;0;3123023; 잠실동;0019;0000;11710;10100;1;잠실엘스;1;18;11710-6346;84,8800;19;11710;6;6142;2019-01-18
175000;1978;2019;송파대로;00567;00000;11710;01;0;2005011; 잠실동;0027;0000;11710;10100;1;주공아파트 5단지;1;18;11710-164;76,5000;27;11710;12;7549;2019-01-18
130000;2007;2019;잠실로;00062;00000;11710;01;0;3123015; 잠실동;0035;0000;11710;10100;1;트리지움;1;19;11710-6028;59,8800;35;11710;16;7164;2019-01-19
135000;2007;2019;잠실로;00062;00000;11710;01;0;3123015; 잠실동;0035;0000;11710;10100;1;트리지움;1;24;11710-6028;84,9700;35;11710;18;5243;2019-01-24
150000;2005;2019;올림픽로;00212;00000;11710;01;0;3123023; 잠실동;0040;0000;11710;10100;1;갤러리아팰리스;1;25;11710-281;123,2910;40;11710;10;4014;2019-01-25
160000;2008;2019;올림픽로;00135;00000;11710;01;0;3123023; 잠실동;0022;0000;11710;10100;1;리센츠;1;30;11710-6249;84,9900;22;11710;20;6212;2019-01-30
120000;2006;2019;올림픽로35길;00093;00000;11710;01;0;4169554; 신천동;0011;0008;11710;10200;1;더샵스타리버;1;4;11710-5899;142,1700;11-8;11710;8;2785;2019-01-04
152000;1979;2019;올림픽로35길;00104;00000;11710;01;0;4169554; 신천동;0011;0000;11710;10200;1;장미2;1;7;11710-177;99,0000;11;11710;2;5066;2019-01-07
164500;1979;2019;올림픽로35길;00104;00000;11710;01;0;4169554; 신천동;0007;0000;11710;10200;1;장미1;1;8;11710-170;99,0000;7;11710;6;5483;2019-01-08
165000;1979;2019;올림픽로35길;00104;00000;11710;01;0;4169554; 신천동;0011;0000;11710;10200;1;장미2;1;9;11710-177;120,0000;11;11710;4;4537;2019-01-09
139500;1979;2019;올림픽로35길;00104;00000;11710;01;0;4169554; 신천동;0007;0000;11710;10200;1;장미1;1;14;11710-170;82,4500;7;11710;7;5583;2019-01-14
184000;2008;2019;올림픽로;00435;00000;11710;02;0;3123023; 신천동;0017;0000;11710;10200;1;파크리오;1;17;11710-6266;121,6300;17;11710;3;4992;2019-01-17
132000;2008;2019;올림픽로;00435;00000;11710;02;0;3123023; 신천동;0017;0000;11710;10200;1;파크리오;1;24;11710-6266;84,9000;17;11710;4;5130;2019-01-24
59900;1995;2019;한가람로;00448;00000;11710;02;0;3123020; 풍납동;0506;0000;11710;10300;1;동아한가람1;1;10;11710-6;59,9800;506;11710;1;3295;2019-01-10
61000;1998;2019;한가람로;00478;00000;11710;02;0;3123020; 풍납동;0509;0000;11710;10300;1;씨티극동1;1;10;11710-13;59,9500;509;11710;6;3357;2019-01-10
67000;1987;2019;올림픽로45길;00011;00000;11710;01;0;4169436; 풍납동;0391;0000;11710;10300;1;극동;1;17;11710-3;59,9750;391;11710;12;3686;2019-01-17
77950;1995;2019;한가람로;00448;00000;11710;02;0;3123020; 풍납동;0506;0000;11710;10300;1;동아한가람1;1;26;11710-6;84,3800;506;11710;17;3048;2019-01-26
89300;1995;2019;올림픽로;00525;00000;11710;03;0;3123023; 풍납동;0413;0001;11710;10300;1;현대1;1;26;11710-18;83,0200;413-1;11710;18;3549;2019-01-26
89800;1984;2019;가락로;00192;00000;11710;01;0;3123001; 송파동;0151;0000;11710;10400;1;2차한양아파트;1;4;11710-31;64,2600;151;11710;2;4611;2019-01-04
70800;2004;2019;송파대로36길;00037;00000;11710;01;0;4169339; 송파동;0173;0012;11710;10400;1;홍익봄마을;1;11;11710-279;82,7000;173-12;11710;4;2825;2019-01-11
113000;2001;2019;오금로32길;00014;00000;11710;01;0;4169391; 송파동;0162;0000;11710;10400;1;송파삼성래미안아파트;1;12;11710-26;126,4000;162;11710;6;2950;2019-01-12
116000;1985;2019;오금로32길;00010;00000;11710;01;0;4169391; 송파동;0161;0000;11710;10400;1;미성맨션;1;28;11710-24;116,9400;161;11710;13;3273;2019-01-28
39000;2001;2019;백제고분로44길;00064;00000;11710;01;0;4169196; 송파동;0104;0000;11710;10400;1;힐스빌;1;31;11710-36;72,8800;104;11710;1;1765;2019-01-31
85000;1985;2019;문정로;00125;00000;11710;00;0;3123005; 가락동;0199;0000;11710;10700;1;프라자;1;2;11710-67;84,6700;199;11710;11;3312;2019-01-02
81000;1997;2019;송파대로32길;00015;00000;11710;01;0;4169335; 가락동;0095;0001;11710;10700;1;가락금호아파트;1;3;11710-49;59,9100;95-1;11710;16;4461;2019-01-03
90000;2004;2019;송파대로37길;00029;00000;11710;02;0;4169340; 가락동;0478;0000;11710;10700;1;송파동부쎈트레빌;1;3;11710-303;84,9800;478;11710;8;3494;2019-01-03
46500;2007;2019;동남로14길;00023;00009;11710;01;0;4169058; 가락동;0198;0007;11710;10700;1;에스디펠리체;1;24;11710-6102;76,7700;198-7;11710;2;1998;2019-01-24
71500;1997;2019;동남로;00193;00000;11710;01;0;3000034; 가락동;0140;0000;11710;10700;1;가락(1차)쌍용아파트;1;28;11710-59;59,9200;140;11710;17;3937;2019-01-28
178000;1988;2019;중대로;00024;00000;11710;02;0;3123016; 문정동;0150;0000;11710;10800;1;올림픽훼밀리타운;1;4;11710-89;192,2350;150;11710;3;3055;2019-01-04
36000;1989;2019;송이로31길;00056;00000;11710;01;0;4169313; 문정동;0145;0000;11710;10800;1;문정시영;1;5;11710-83;25,6500;145;11710;1;4631;2019-01-05
88000;1996;2019;새말로8길;00012;00000;11710;01;0;4169242; 문정동;0072;0003;11710;10800;1;건영1;1;10;11710-78;84,8100;72-3;11710;10;3424;2019-01-10
113000;2004;2019;문정로;00083;00000;11710;02;0;3123005; 문정동;0001;0000;11710;10800;1;문정래미안;1;17;11710-282;120,9700;1;11710;9;3082;2019-01-17
114000;2016;2019;송파대로;00111;00000;11710;06;NA;2005011; 문정동;0618;0000;11710;10800;1;파크하비오;1;17;11710-8245;84,9648;618;11710;16;4427;2019-01-17
